Review Rating,Age,Gender,Item Purchased,Purchase Amount (USD),Location,Size,Color,Season,Subscription Status,Payment Method,Shipping Type,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases
4.1,31,Male,Pants,62,North Carolina,M,Charcoal,Winter,Yes,Credit Card,Store_Pickup,Store_Pickup,Yes,Yes,22,Debit Card,Quarterly
3.2,56,Male,Pants,37,California,M,Peach,Summer,Yes,Cash,Store_Pickup,Store_Pickup,Yes,Yes,32,Debit Card,Annually
4.4,31,Male,Pants,88,Oklahoma,XL,White,Winter,Yes,Credit Card,Express,Express,Yes,Yes,40,Credit Card,Weekly
2.9,18,Male,Jacket,22,Florida,M,Green,Fall,Yes,Cash,Store_Pickup,Store_Pickup,Yes,Yes,16,Debit Card,Weekly
3.6,18,Male,Hoodie,25,Texas,M,Silver,Summer,Yes,Bank Transfer,Express,Express,Yes,Yes,14,PayPal,Annually
3.6,38,Male,Jewelry,20,Nevada,M,Red,Spring,Yes,Cash,Next_Day_Air,Next_Day_Air,Yes,Yes,13,Credit Card,Annually
5.0,56,Male,Shorts,56,Kentucky,L,Cyan,Summer,Yes,Debit Card,Next_Day_Air,Next_Day_Air,Yes,Yes,7,Bank Transfer,Every 3 Months
4.4,54,Male,Handbag,94,North Carolina,M,Gray,Fall,Yes,Debit Card,Free_Shipping,Free_Shipping,Yes,Yes,41,PayPal,Every 3 Months
4.1,31,Male,Dress,48,Wyoming,S,Black,Fall,Yes,Venmo,Store_Pickup,Store_Pickup,Yes,Yes,14,Credit Card,Weekly
4.7,57,Male,Jewelry,31,North Carolina,L,Black,Winter,Yes,Bank Transfer,Standard,Standard,Yes,Yes,16,Credit Card,Monthly
4.7,33,Male,Dress,79,West Virginia,L,Brown,Winter,Yes,Venmo,Store_Pickup,Store_Pickup,Yes,Yes,45,Venmo,Monthly
4.9,36,Male,Jacket,67,Kansas,M,Silver,Summer,Yes,Bank Transfer,Free_Shipping,Free_Shipping,Yes,Yes,37,Venmo,Annually
3.3,54,Male,Pants,38,Colorado,L,Green,Summer,Yes,Venmo,Store_Pickup,Store_Pickup,Yes,Yes,45,Cash,Quarterly
4.6,36,Male,T-shirt,91,North Dakota,L,Violet,Spring,Yes,Debit Card,Two-Day_Shipping,Two-Day_Shipping,Yes,Yes,38,PayPal,Quarterly
4.0,54,Male,Blouse,33,Massachusetts,M,Cyan,Summer,Yes,Bank Transfer,Two-Day_Shipping,Two-Day_Shipping,Yes,Yes,48,Credit Card,Bi-Weekly
4.6,35,Male,T-shirt,69,Illinois,M,Maroon,Winter,Yes,Cash,Free_Shipping,Free_Shipping,Yes,Yes,44,PayPal,Fortnightly
2.8,35,Male,Jeans,45,Indiana,S,Cyan,Summer,Yes,Debit Card,Store_Pickup,Store_Pickup,Yes,Yes,10,PayPal,Weekly
3.7,29,Male,Dress,37,Florida,M,Red,Winter,Yes,Debit Card,Two-Day_Shipping,Two-Day_Shipping,Yes,Yes,44,Venmo,Every 3 Months
4.2,70,Male,Pants,60,Arizona,S,Turquoise,Summer,Yes,Bank Transfer,Express,Express,Yes,Yes,18,Credit Card,Monthly
4.6,69,Male,Handbag,76,Louisiana,L,Beige,Winter,Yes,PayPal,Next_Day_Air,Next_Day_Air,Yes,Yes,31,Debit Card,Quarterly
4.5,67,Male,Scarf,39,Alaska,M,Orange,Spring,Yes,Cash,Standard,Standard,Yes,Yes,40,Venmo,Annually
4.1,20,Male,Coat,100,Tennessee,M,Beige,Spring,Yes,Bank Transfer,Free_Shipping,Free_Shipping,Yes,Yes,15,PayPal,Annually
3.7,25,Male,Scarf,69,Ohio,L,Lavender,Fall,Yes,PayPal,Store_Pickup,Store_Pickup,Yes,Yes,19,PayPal,Fortnightly
4.6,39,Male,Hat,53,Kentucky,S,Silver,Summer,Yes,Bank Transfer,Free_Shipping,Free_Shipping,Yes,Yes,45,PayPal,Weekly
2.9,50,Male,Socks,21,Tennessee,XL,Indigo,Fall,Yes,Venmo,Two-Day_Shipping,Two-Day_Shipping,Yes,Yes,25,PayPal,Annually
2.9,57,Male,Shirt,43,California,L,White,Summer,Yes,Venmo,Store_Pickup,Store_Pickup,Yes,Yes,45,Cash,Quarterly
4.5,55,Male,Jewelry,54,Montana,M,Charcoal,Winter,Yes,Debit Card,Free_Shipping,Free_Shipping,Yes,Yes,36,Cash,Weekly
2.7,42,Male,Shirt,55,Nevada,M,Orange,Summer,Yes,Debit Card,Store_Pickup,Store_Pickup,Yes,Yes,38,Cash,Monthly
4.6,68,Male,Hoodie,30,New Jersey,S,Indigo,Spring,Yes,Bank Transfer,Next_Day_Air,Next_Day_Air,Yes,Yes,34,Debit Card,Bi-Weekly
3.7,49,Male,Blouse,28,Maryland,M,Red,Spring,Yes,Cash,Store_Pickup,Store_Pickup,Yes,Yes,39,Debit Card,Bi-Weekly
4.7,59,Male,Skirt,59,Vermont,XL,Gray,Winter,Yes,PayPal,Two-Day_Shipping,Two-Day_Shipping,Yes,Yes,7,Credit Card,Quarterly
2.6,42,Male,T-shirt,20,Alaska,M,Green,Summer,Yes,Credit Card,Free_Shipping,Free_Shipping,Yes,Yes,26,Credit Card,Weekly
3.9,29,Male,Skirt,24,Mississippi,S,Peach,Winter,Yes,Debit Card,Next_Day_Air,Next_Day_Air,Yes,Yes,35,Credit Card,Weekly
4.2,47,Male,Coat,94,New Mexico,M,Brown,Summer,Yes,Bank Transfer,Next_Day_Air,Next_Day_Air,Yes,Yes,35,Debit Card,Bi-Weekly
3.0,40,Male,Jacket,28,South Carolina,M,Lavender,Winter,Yes,Venmo,Two-Day_Shipping,Two-Day_Shipping,Yes,Yes,49,Credit Card,Annually
4.7,41,Male,Backpack,73,Mississippi,XL,Brown,Summer,Yes,PayPal,Store_Pickup,Store_Pickup,Yes,Yes,46,Credit Card,Weekly
4.4,21,Male,Coat,64,West Virginia,M,White,Summer,Yes,PayPal,Store_Pickup,Store_Pickup,Yes,Yes,17,Debit Card,Fortnightly
4.2,69,Male,Hoodie,54,Missouri,M,Charcoal,Summer,Yes,Credit Card,Free_Shipping,Free_Shipping,Yes,Yes,29,Venmo,Monthly
4.6,63,Male,Belt,79,Louisiana,L,Yellow,Spring,Yes,Debit Card,Standard,Standard,Yes,Yes,4,Debit Card,Weekly
4.0,50,Male,Sweater,37,Idaho,L,Brown,Summer,Yes,Credit Card,Express,Express,Yes,Yes,17,Cash,Weekly
4.7,55,Male,Scarf,68,Texas,M,Orange,Winter,Yes,Bank Transfer,Store_Pickup,Store_Pickup,Yes,Yes,21,Credit Card,Every 3 Months
3.8,30,Male,Sneakers,21,Mississippi,S,Magenta,Spring,Yes,Credit Card,Free_Shipping,Free_Shipping,Yes,Yes,31,Credit Card,Fortnightly
2.7,33,Male,Sunglasses,79,Arizona,L,Lavender,Winter,Yes,Credit Card,Two-Day_Shipping,Two-Day_Shipping,Yes,Yes,43,Credit Card,Weekly
4.8,65,Male,Boots,83,Alabama,S,Green,Fall,Yes,PayPal,Standard,Standard,Yes,Yes,18,Debit Card,Fortnightly
4.8,65,Male,Backpack,36,New Jersey,M,Purple,Spring,Yes,Credit Card,Two-Day_Shipping,Two-Day_Shipping,Yes,Yes,44,Venmo,Every 3 Months
4.7,31,Male,Blouse,94,Pennsylvania,S,Magenta,Winter,Yes,Bank Transfer,Two-Day_Shipping,Two-Day_Shipping,Yes,Yes,3,Venmo,Every 3 Months
4.4,45,Male,Coat,33,Connecticut,L,Gray,Winter,Yes,PayPal,Store_Pickup,Store_Pickup,Yes,Yes,49,Debit Card,Monthly
3.9,57,Male,Handbag,46,Utah,L,Silver,Summer,Yes,Credit Card,Next_Day_Air,Next_Day_Air,Yes,Yes,21,Cash,Every 3 Months
4.4,48,Male,Belt,70,Tennessee,S,Cyan,Summer,Yes,Credit Card,Express,Express,Yes,Yes,5,Cash,Weekly
4.2,22,Male,Belt,29,Alabama,M,Magenta,Fall,Yes,Credit Card,Express,Express,Yes,Yes,32,Debit Card,Every 3 Months
2.9,36,Male,Dress,48,Virginia,L,Gold,Summer,Yes,Debit Card,Express,Express,Yes,Yes,34,Bank Transfer,Annually
2.9,18,Male,Dress,26,Georgia,M,Olive,Winter,Yes,Debit Card,Store_Pickup,Store_Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months
2.7,48,Male,Pants,85,Hawaii,M,Teal,Spring,Yes,Debit Card,Free_Shipping,Free_Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly
4.5,49,Male,Gloves,58,Indiana,L,Violet,Spring,Yes,PayPal,Express,Express,Yes,Yes,3,Cash,Monthly
2.7,64,Male,Scarf,85,Utah,M,Blue,Summer,Yes,Debit Card,Free_Shipping,Free_Shipping,Yes,Yes,21,Credit Card,Annually
4.2,50,Male,Hat,43,Delaware,S,Teal,Summer,Yes,Bank Transfer,Free_Shipping,Free_Shipping,Yes,Yes,32,Venmo,Monthly
3.3,22,Male,Dress,53,Delaware,L,Gold,Summer,Yes,Debit Card,Next_Day_Air,Next_Day_Air,Yes,Yes,36,Debit Card,Fortnightly
4.7,50,Male,Skirt,91,Nebraska,M,Maroon,Spring,Yes,Venmo,Free_Shipping,Free_Shipping,Yes,Yes,50,Venmo,Fortnightly
2.6,38,Male,Jacket,96,Iowa,M,Olive,Winter,Yes,Bank Transfer,Two-Day_Shipping,Two-Day_Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months
3.3,19,Male,Sandals,72,New York,XL,Blue,Summer,Yes,Credit Card,Store_Pickup,Store_Pickup,Yes,Yes,24,Credit Card,Every 3 Months
2.6,67,Male,Shoes,96,Virginia,L,Maroon,Summer,Yes,PayPal,Express,Express,Yes,Yes,36,Credit Card,Every 3 Months
4.0,19,Male,Pants,28,Georgia,S,Olive,Spring,Yes,Bank Transfer,Two-Day_Shipping,Two-Day_Shipping,Yes,Yes,21,Credit Card,Every 3 Months
4.1,36,Male,Dress,40,Texas,M,Turquoise,Summer,Yes,Debit Card,Standard,Standard,Yes,Yes,34,Bank Transfer,Weekly
4.4,52,Male,Coat,32,Arizona,S,Peach,Spring,Yes,Cash,Standard,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months
4.5,53,Male,Sunglasses,95,New Mexico,M,Charcoal,Winter,Yes,Credit Card,Next_Day_Air,Next_Day_Air,Yes,Yes,2,Debit Card,Bi-Weekly
3.7,24,Male,Hoodie,41,Nevada,L,Pink,Spring,Yes,Venmo,Two-Day_Shipping,Two-Day_Shipping,Yes,Yes,47,Cash,Bi-Weekly
3.7,52,Male,Shoes,53,Ohio,M,Green,Fall,Yes,Debit Card,Two-Day_Shipping,Two-Day_Shipping,Yes,Yes,44,Debit Card,Fortnightly
3.5,33,Male,T-shirt,47,Wyoming,M,Orange,Fall,Yes,Credit Card,Free_Shipping,Free_Shipping,Yes,Yes,35,Credit Card,Monthly
3.6,47,Male,Jacket,83,California,XL,Pink,Fall,Yes,Bank Transfer,Next_Day_Air,Next_Day_Air,Yes,Yes,15,Cash,Quarterly
2.9,25,Male,Hat,48,South Carolina,L,Violet,Summer,Yes,Venmo,Express,Express,Yes,Yes,29,Credit Card,Monthly
4.6,44,Male,Scarf,99,South Carolina,S,Green,Winter,Yes,PayPal,Standard,Standard,Yes,Yes,18,Credit Card,Every 3 Months
4.4,61,Male,Jacket,87,Texas,M,Olive,Winter,Yes,Cash,Two-Day_Shipping,Two-Day_Shipping,Yes,Yes,13,Venmo,Every 3 Months
4.5,37,Male,Sweater,62,Florida,M,Purple,Fall,Yes,PayPal,Standard,Standard,Yes,Yes,46,Credit Card,Weekly
4.6,58,Male,Skirt,76,Nevada,S,Silver,Spring,Yes,Bank Transfer,Free_Shipping,Free_Shipping,Yes,Yes,28,Credit Card,Weekly
3.8,37,Male,Sneakers,100,Missouri,L,Pink,Fall,Yes,PayPal,Free_Shipping,Free_Shipping,Yes,Yes,48,PayPal,Monthly
3.6,32,Male,Gloves,73,Delaware,S,Gold,Spring,Yes,Venmo,Express,Express,Yes,Yes,43,Venmo,Every 3 Months
4.8,21,Male,Shoes,92,Virginia,M,Teal,Winter,Yes,PayPal,Store_Pickup,Store_Pickup,Yes,Yes,37,Cash,Annually
2.6,20,Male,Jeans,67,New York,XL,Teal,Spring,Yes,Cash,Next_Day_Air,Next_Day_Air,Yes,Yes,20,Bank Transfer,Annually
3.7,26,Male,Hoodie,40,Missouri,XL,Indigo,Summer,Yes,Cash,Express,Express,Yes,Yes,33,Debit Card,Quarterly
2.7,62,Male,Sunglasses,98,South Dakota,M,Maroon,Fall,Yes,PayPal,Express,Express,Yes,Yes,31,Cash,Fortnightly
4.6,27,Male,Coat,85,North Dakota,XL,White,Spring,Yes,Venmo,Express,Express,Yes,Yes,50,Credit Card,Bi-Weekly
4.8,51,Male,Socks,67,Oklahoma,L,Violet,Winter,Yes,Credit Card,Next_Day_Air,Next_Day_Air,Yes,Yes,35,Credit Card,Quarterly
4.0,54,Male,Boots,89,West Virginia,L,Red,Winter,Yes,Debit Card,Next_Day_Air,Next_Day_Air,Yes,Yes,22,Venmo,Bi-Weekly
4.4,55,Male,Sunglasses,24,New Hampshire,L,Pink,Spring,Yes,Bank Transfer,Two-Day_Shipping,Two-Day_Shipping,Yes,Yes,1,PayPal,Monthly
3.6,69,Male,Backpack,96,New York,M,Charcoal,Fall,Yes,Bank Transfer,Next_Day_Air,Next_Day_Air,Yes,Yes,4,Bank Transfer,Annually
3.7,64,Male,Jacket,35,Minnesota,L,White,Summer,Yes,Cash,Standard,Standard,Yes,Yes,31,Credit Card,Monthly
3.1,28,Male,Sneakers,67,Maryland,L,Olive,Winter,Yes,Cash,Next_Day_Air,Next_Day_Air,Yes,Yes,46,PayPal,Fortnightly
3.4,70,Male,Socks,79,Montana,L,Purple,Spring,Yes,Bank Transfer,Next_Day_Air,Next_Day_Air,Yes,Yes,32,Bank Transfer,Bi-Weekly
2.6,58,Male,T-shirt,85,Alabama,M,Violet,Spring,Yes,Cash,Next_Day_Air,Next_Day_Air,Yes,Yes,43,Bank Transfer,Fortnightly
4.0,56,Male,Backpack,26,New York,M,Black,Summer,Yes,Bank Transfer,Standard,Standard,Yes,Yes,26,Venmo,Fortnightly
5.0,26,Male,Belt,75,Massachusetts,L,Purple,Summer,Yes,PayPal,Free_Shipping,Free_Shipping,Yes,Yes,9,Credit Card,Annually
4.3,37,Male,Gloves,65,Florida,M,Red,Spring,Yes,Credit Card,Free_Shipping,Free_Shipping,Yes,Yes,28,PayPal,Bi-Weekly
3.1,44,Male,Hat,54,New Jersey,L,Maroon,Winter,Yes,Debit Card,Next_Day_Air,Next_Day_Air,Yes,Yes,20,PayPal,Quarterly
3.7,70,Male,Coat,95,Massachusetts,S,Blue,Summer,Yes,Venmo,Store_Pickup,Store_Pickup,Yes,Yes,9,Cash,Weekly
3.8,53,Male,Skirt,94,Wyoming,M,Gray,Spring,Yes,Cash,Standard,Standard,Yes,Yes,48,Debit Card,Every 3 Months
3.4,55,Male,Shoes,86,Virginia,S,Blue,Spring,Yes,PayPal,Free_Shipping,Free_Shipping,Yes,Yes,12,Venmo,Annually
4.6,50,Male,Sandals,32,South Dakota,L,Yellow,Summer,Yes,Bank Transfer,Express,Express,Yes,Yes,29,Cash,Fortnightly
4.8,50,Male,Sweater,45,Kentucky,L,Orange,Fall,Yes,Bank Transfer,Two-Day_Shipping,Two-Day_Shipping,Yes,Yes,27,Cash,Bi-Weekly
4.3,38,Male,Coat,76,Wyoming,M,Orange,Fall,Yes,Debit Card,Express,Express,Yes,Yes,44,Cash,Annually
4.0,64,Male,Hat,84,West Virginia,L,Red,Summer,Yes,PayPal,Express,Express,Yes,Yes,32,Bank Transfer,Annually
4.2,19,Male,Shorts,72,Virginia,M,Olive,Winter,Yes,Cash,Standard,Standard,Yes,Yes,11,Cash,Fortnightly
4.8,40,Male,Backpack,40,Washington,L,Brown,Spring,Yes,Credit Card,Two-Day_Shipping,Two-Day_Shipping,Yes,Yes,44,Cash,Fortnightly
3.1,57,Male,Sweater,89,Louisiana,L,Brown,Fall,Yes,Debit Card,Free_Shipping,Free_Shipping,Yes,Yes,46,Cash,Weekly
3.1,44,Male,Sweater,86,Nevada,M,Gray,Spring,Yes,PayPal,Next_Day_Air,Next_Day_Air,Yes,Yes,50,PayPal,Annually
3.6,49,Male,Shorts,54,California,M,Indigo,Winter,Yes,Cash,Next_Day_Air,Next_Day_Air,Yes,Yes,45,Venmo,Every 3 Months
3.9,43,Male,Shorts,36,Mississippi,L,Pink,Spring,Yes,Bank Transfer,Store_Pickup,Store_Pickup,Yes,Yes,48,Cash,Every 3 Months
4.8,24,Male,Sweater,89,Mississippi,M,Gray,Winter,Yes,Venmo,Next_Day_Air,Next_Day_Air,Yes,Yes,26,Credit Card,Weekly
4.7,20,Male,Scarf,32,California,M,Gold,Spring,Yes,Venmo,Standard,Standard,Yes,Yes,21,Credit Card,Fortnightly
4.2,24,Male,Dress,67,Pennsylvania,XL,Olive,Summer,Yes,Cash,Two-Day_Shipping,Two-Day_Shipping,Yes,Yes,49,PayPal,Bi-Weekly
3.7,44,Male,Scarf,39,Kentucky,L,Violet,Fall,Yes,Credit Card,Next_Day_Air,Next_Day_Air,Yes,Yes,13,PayPal,Fortnightly
3.9,28,Male,Skirt,29,Maine,L,Indigo,Summer,Yes,PayPal,Standard,Standard,Yes,Yes,46,Credit Card,Weekly
4.7,30,Male,Backpack,58,New Mexico,M,Orange,Fall,Yes,Bank Transfer,Two-Day_Shipping,Two-Day_Shipping,Yes,Yes,42,PayPal,Weekly
2.5,52,Male,Sweater,65,Montana,M,Violet,Winter,Yes,Bank Transfer,Next_Day_Air,Next_Day_Air,Yes,Yes,25,Venmo,Annually
4.9,43,Male,Hat,94,Texas,L,Gray,Fall,Yes,Credit Card,Store_Pickup,Store_Pickup,Yes,Yes,25,Cash,Monthly
4.1,43,Male,Sandals,81,Kansas,M,Purple,Fall,Yes,PayPal,Express,Express,Yes,Yes,12,PayPal,Quarterly
3.3,39,Male,Blouse,86,South Carolina,M,White,Winter,Yes,Credit Card,Free_Shipping,Free_Shipping,Yes,Yes,4,Debit Card,Quarterly
4.7,68,Male,Sneakers,43,Colorado,M,Turquoise,Spring,Yes,Cash,Free_Shipping,Free_Shipping,Yes,Yes,38,PayPal,Weekly
4.4,68,Male,Skirt,29,Georgia,M,Maroon,Winter,Yes,Cash,Store_Pickup,Store_Pickup,Yes,Yes,42,Bank Transfer,Weekly
3.8,49,Male,Coat,95,Florida,M,White,Fall,Yes,Debit Card,Store_Pickup,Store_Pickup,Yes,Yes,30,Venmo,Annually
3.9,63,Male,Shirt,28,North Carolina,L,Yellow,Fall,Yes,Bank Transfer,Two-Day_Shipping,Two-Day_Shipping,Yes,Yes,50,Credit Card,Weekly
4.9,56,Male,Gloves,46,Virginia,M,Turquoise,Fall,Yes,PayPal,Free_Shipping,Free_Shipping,Yes,Yes,45,PayPal,Weekly
3.1,37,Male,Jacket,58,Nebraska,L,Violet,Fall,Yes,PayPal,Free_Shipping,Free_Shipping,Yes,Yes,33,Credit Card,Fortnightly
2.7,30,Male,Coat,48,Missouri,M,Beige,Fall,Yes,Bank Transfer,Store_Pickup,Store_Pickup,Yes,Yes,25,PayPal,Quarterly
3.2,19,Male,Shoes,43,New Jersey,M,Silver,Fall,Yes,Credit Card,Express,Express,Yes,Yes,25,Cash,Monthly
4.5,24,Male,Jewelry,95,Missouri,M,Teal,Fall,Yes,Venmo,Standard,Standard,Yes,Yes,44,Debit Card,Quarterly
4.0,52,Male,Skirt,30,Colorado,S,Black,Fall,Yes,Debit Card,Standard,Standard,Yes,Yes,21,Venmo,Fortnightly
3.5,63,Male,Shoes,64,Idaho,M,Purple,Summer,Yes,Bank Transfer,Two-Day_Shipping,Two-Day_Shipping,Yes,Yes,31,Bank Transfer,Fortnightly
2.6,37,Male,Gloves,90,Wyoming,M,Gray,Fall,Yes,PayPal,Store_Pickup,Store_Pickup,Yes,Yes,47,Debit Card,Annually
3.2,38,Male,Pants,76,Delaware,M,White,Summer,Yes,Venmo,Free_Shipping,Free_Shipping,Yes,Yes,14,PayPal,Monthly
4.9,35,Male,Boots,96,California,L,Cyan,Fall,Yes,Bank Transfer,Standard,Standard,Yes,Yes,17,Debit Card,Every 3 Months
4.5,28,Male,Sunglasses,47,North Dakota,L,Turquoise,Fall,Yes,Debit Card,Next_Day_Air,Next_Day_Air,Yes,Yes,3,Venmo,Annually
4.3,30,Male,Shirt,85,South Carolina,S,Brown,Summer,Yes,PayPal,Express,Express,Yes,Yes,42,Venmo,Annually
3.2,69,Male,Hoodie,55,North Carolina,M,Maroon,Winter,Yes,Debit Card,Standard,Standard,Yes,Yes,22,Debit Card,Annually
3.6,41,Male,Dress,98,Oklahoma,M,Charcoal,Fall,Yes,Debit Card,Next_Day_Air,Next_Day_Air,Yes,Yes,21,Venmo,Quarterly
4.3,63,Male,Socks,77,Maine,S,Olive,Spring,Yes,Cash,Free_Shipping,Free_Shipping,Yes,Yes,21,Bank Transfer,Quarterly
4.0,35,Male,Shorts,26,Missouri,M,Lavender,Fall,Yes,Venmo,Standard,Standard,Yes,Yes,40,Debit Card,Annually
3.0,36,Male,Hat,68,Vermont,S,Yellow,Fall,Yes,Debit Card,Next_Day_Air,Next_Day_Air,Yes,Yes,1,Bank Transfer,Fortnightly
4.1,25,Male,Shirt,73,Connecticut,XL,Teal,Fall,Yes,Bank Transfer,Standard,Standard,Yes,Yes,50,Bank Transfer,Monthly
3.8,58,Male,Gloves,27,New Hampshire,M,Charcoal,Fall,Yes,Debit Card,Store_Pickup,Store_Pickup,Yes,Yes,39,Bank Transfer,Every 3 Months
4.6,27,Male,Gloves,23,Texas,M,Orange,Summer,Yes,Bank Transfer,Free_Shipping,Free_Shipping,Yes,Yes,34,Venmo,Monthly
3.0,65,Male,Backpack,49,North Dakota,M,Olive,Fall,Yes,Venmo,Express,Express,Yes,Yes,29,Venmo,Fortnightly
3.0,54,Male,Sunglasses,74,California,M,Turquoise,Summer,Yes,Credit Card,Store_Pickup,Store_Pickup,Yes,Yes,31,PayPal,Bi-Weekly
3.4,54,Male,Skirt,67,Virginia,M,Purple,Summer,Yes,PayPal,Standard,Standard,Yes,Yes,8,Debit Card,Weekly
2.6,59,Male,Handbag,65,Delaware,S,Purple,Spring,Yes,Debit Card,Free_Shipping,Free_Shipping,Yes,Yes,5,Credit Card,Fortnightly
2.8,42,Male,Handbag,60,Kentucky,S,Yellow,Winter,Yes,Credit Card,Store_Pickup,Store_Pickup,Yes,Yes,7,Cash,Monthly
4.0,46,Male,Sneakers,31,Delaware,XL,Indigo,Fall,Yes,Cash,Store_Pickup,Store_Pickup,Yes,Yes,30,Cash,Monthly
4.0,33,Male,Gloves,27,Arkansas,M,Green,Fall,Yes,Venmo,Express,Express,Yes,Yes,14,Credit Card,Every 3 Months
3.0,34,Male,Shoes,80,Louisiana,M,Magenta,Summer,Yes,Bank Transfer,Express,Express,Yes,Yes,5,Cash,Fortnightly
3.3,27,Male,Jacket,30,Nevada,S,Gold,Summer,Yes,Credit Card,Standard,Standard,Yes,Yes,3,PayPal,Every 3 Months
2.6,52,Male,Shirt,25,Wyoming,M,Maroon,Fall,Yes,Venmo,Store_Pickup,Store_Pickup,Yes,Yes,46,Venmo,Bi-Weekly
3.6,29,Male,Shorts,35,Virginia,M,Blue,Summer,Yes,Debit Card,Store_Pickup,Store_Pickup,Yes,Yes,4,Credit Card,Weekly
3.9,54,Male,Jewelry,67,Nebraska,M,Violet,Summer,Yes,Bank Transfer,Next_Day_Air,Next_Day_Air,Yes,Yes,42,Credit Card,Bi-Weekly
3.4,25,Male,Hat,46,Hawaii,M,Turquoise,Fall,Yes,PayPal,Standard,Standard,Yes,Yes,30,Cash,Annually
3.5,41,Male,Shoes,35,Vermont,L,Brown,Winter,Yes,Venmo,Express,Express,Yes,Yes,37,Venmo,Annually
2.8,53,Male,Coat,86,Oklahoma,L,Violet,Fall,Yes,Debit Card,Next_Day_Air,Next_Day_Air,Yes,Yes,2,Bank Transfer,Annually
2.7,53,Male,Backpack,81,New Hampshire,L,Black,Spring,Yes,Bank Transfer,Next_Day_Air,Next_Day_Air,Yes,Yes,30,Credit Card,Quarterly
3.7,21,Male,Hoodie,42,Kansas,L,Magenta,Fall,Yes,Debit Card,Next_Day_Air,Next_Day_Air,Yes,Yes,47,Bank Transfer,Monthly
